keyword,title,description,link,pub_date,sentiment,nouns
2차전지,[마켓 프리뷰] 코스피 8400선 '약보합' 마감…코스닥 8%대 급등,"그동안 장을 이끌었던 반도체와그 관련주들이 대체로 하락한 대신 2차전지, 바이오 등 소외 업종 중심으로 저가 매수세가 한꺼번에 들어오면서 반도체 쏠림 현상이 해소되고 있다는 평가인데요. 다만 여전히 장중 큰... ",https://n.news.naver.com/mnews/article/374/0000518951?sid=101,"Tue, 30 Jun 2026 07:33:00 +0900",중립,"마켓, 프리뷰, 코스피, 약보합, 마감"
2차전지,"[증시전략] 美 빅테크, 잔혹한 상대평가 시즌…과거의 명성 끝났나?","2% - '3대 메가 프로젝트 국민보고회' 반도체주 변동성 키워 - 호남권 투자 기대, 광주 부동산 보유·지역건설사 강세 - 2차전지·조선·방산주 강세, 코스피 지수 하단 지지 - LG에너지솔루션 20.81%·두산에너빌 8.51% 급등... ",https://n.news.naver.com/mnews/article/374/0000518939?sid=104,"Tue, 30 Jun 2026 07:14:00 +0900",긍정,"증시전략, 빅테크, 잔혹한, 상대평가, 시즌"
2차전지,[뉴스타트] '월드컵 참사' 홍명보호 씁쓸한 새벽 귀국...홍명보 전 감독...,위해 전지훈련부터 해서 장도의 여정에 오르면서 이 월드컵을 계속 준비하는 시간들을 가졌습니다. 하지만... 그 결과값을 만들어내다 보니까 2차전도 동일한 포메이션. 그리고 교체 패턴이라든가 작전까지도 같았습니다.... ,https://n.news.naver.com/mnews/article/052/0002372575?sid=104,"Tue, 30 Jun 2026 07:08:00 +0900",중립,"뉴스타트, 월드컵, 참사, 홍명보호, 씁쓸한"
2차전지,"&quot;드디어 빨간불, 얼마 만인지&quot;…'삼전닉스' 쉬어간 틈에 설움 딛고 다시...",지난주 11% 넘게 하락했던 코스닥은 이날 바이오와 2차전지 업종을 중심으로 순환매가 유입되면서 3거래일 만에 반등에 성공한 것이다. 다음 달 코스닥 시장 출범 30주년을 앞두고 시장 활성화 정책 기대감도 투자심리를... ,https://n.news.naver.com/mnews/article/215/0001257004?sid=101,"Tue, 30 Jun 2026 07:02:00 +0900",중립,"드디어, 빨간불, 얼마, 만인지, 삼전닉스"
2차전지,넥스트 AI는 2차전지?…차세대 성장 산업 투자처 ‘주목’,신현진 삼성자산운용 매니저는 “AI가 촉발한 병목 현상이 2차전지 종목들의 실적 기대감으로 이어지고 있다”며 “전력 수요 확대와 전고체 배터리 상용화라는 두 가지 성장에 투자 가능한 ETF”라고 말했다.,https://n.news.naver.com/mnews/article/119/0003106042?sid=101,"Tue, 30 Jun 2026 07:01:00 +0900",긍정,"넥스트, 차전지, 차세대, 성장, 산업"
2차전지,"삼성전자, 스마트폰 상장기업 브랜드평판 1위…삼성SDI·LG이노텍 뒤이어","이번 조사는 스마트폰 단말기와 케이스, 터치스크린, AMOLED, 카메라, 2차전지 등 스마트폰 산업과 관련된 상장기업을 대상으로 진행됐다. 소비자들의 참여와 미디어, 소통, 커뮤니티, 시장, 사회공헌 데이터를 종합... ",https://www.bntnews.co.kr/article/view/bnt202606300009,"Tue, 30 Jun 2026 06:58:00 +0900",중립,"삼성전자, 스마트폰, 상장기업, 브랜드평판, 삼성"
2차전지,스마트폰 관련주 브랜드평판 폭증… 삼성전자·삼성SDI·LG이노텍 '톱3',"브랜드평판 분석 대상에는 스마트폰 단말기를 비롯해 케이스, 터치스크린, AMOLED, 카메라 모듈, 2차전지 등 스마트폰 산업 생태계를 구성하는 다양한 부품 기업들이 포함됐다. 브랜드평판지수는 소비자의 참여... ",https://www.pinpointnews.co.kr/news/articleView.html?idxno=464057,"Tue, 30 Jun 2026 06:48:00 +0900",중립,"스마트폰, 관련주, 브랜드평판, 폭증, 삼성전자"
2차전지,정권 따라 바뀌는 '반도체 투자' 계획…다음 정부는 또 어떤 '지형'으로...,"정부 &quot;호남에 제2 반도체 생산 거점, 충청에 반도체·디스플레이·2차전지·바이오, 영남에 방산·항공·우주항공 중심 첨단 산업 육성 계획&quot; 특히 이 대통령은 반도체·AI·데이터센터 등 첨단산업 분야의 대규모... ",http://www.jbsori.com/news/articleView.html?idxno=17513,"Tue, 30 Jun 2026 06:30:00 +0900",중립,"정권, 따라, 바뀌는, 반도체, 투자"
2차전지,김용선 지식재산처장 &quot;기술 유출은 국가안보 문제&quot;,"대상도 반도체, 이차전지 같은 핵심 산업부터 전투기, 잠수함 등 방위산업까지 망라돼 있고, 수법 역시... 정책 전문가와 소관 부처 담당 공무원으로 꾸린 심사위원회의 2차 심사를 거쳐 10월에 최종 수상작을 뽑아... ",https://n.news.naver.com/mnews/article/079/0004163022?sid=102,"Tue, 30 Jun 2026 06:25:00 +0900",중립,"김용선, 지식재산처장, 기술, 유출은, 국가안보"
2차전지,"수백 조 쏟아붓는데...주저앉은 삼전·닉스, 상한가 폭발한 호남반도체...","특히 2차전지와 제약·바이오 업종의 강세가 지수 폭등을 견인했다. 2차전지 전력 인프라에 대한 수요가 늘어날 것으로 예상되고, 실적 대비 저평가 매력이 부각되며 LG에너지솔루션(20.81%), 삼성SDI(12.53%), 에코프로(23.69... ",https://www.etoday.co.kr/news/view/2598353,"Tue, 30 Jun 2026 06:02:00 +0900",긍정,"수백, 쏟아붓는데, 주저앉은, 삼전, 닉스"
