keyword,title,description,link,pub_date,sentiment,nouns
2차전지,[더벨][니어스랩 IPO] 최대 2378억 몸값 도전…핵심은 '방산',앞서 지난 2024년 말 상장한 에이럭스가 드론에 집중해 사업을 전개하고 있긴 하지만 이 회사는 상장 당시 교육용 드론과 로봇을 기반으로 한 사업구조를 가지고 2차전지와 로보틱스 분야의 유사기업을 통해... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202606291404315240106054,"Wed, 01 Jul 2026 07:02:00 +0900",긍정,"더벨, 니어스랩, 최대, 몸값, 도전"
2차전지,"충청민이 지켜보고 있다…민선 9기, 성과로 보여줘야","충남은 제조업과 에너지 전환의 중심지이며, 충북은 바이오·반도체·이차전지 산업 기반을 키워온 성장... 행정수도 완성, 혁신도시 완성, 공공기관 제2차 이전, 반도체·AI 데이터센터 투자, 국가산단 조성 등 굵직한... ",https://www.cctoday.co.kr/news/articleView.html?idxno=2232464,"Wed, 01 Jul 2026 06:02:00 +0900",긍정,"충청민이, 지켜보고, 있다, 민선, 성과로"
2차전지,"엘앤에프, 씨아이에스케미칼에 전략적 투자…배터리 재활용 협력",2차전지 소재 전문기업 엘앤에프(066970)가 씨아이에스케미칼과 전략적 투자 계약을 체결하고 리사이클링 분야 협력을 한층 강화한다고 밝혔다. 이번 투자는 지난 5월 체결한 LFP(리튬인산철)·NCM(니켈·코발트·망간)... ,https://n.news.naver.com/mnews/article/011/0004636703?sid=101,"Wed, 01 Jul 2026 05:46:00 +0900",중립,"엘앤에프, 씨아이에스케미칼에, 전략적, 투자, 배터리"
2차전지,[북중미WC] ‘홍명보호’ A매치 리뷰 없었다? 검토만 철저히 했었다면…...,"대표팀은 1, 2차전을 잘 싸운 뒤 남아공과 최종 3차전서 완전히 무너졌다. 모든 부분이 심각했다. 선수들의... 이를 토대로 6월 U-23 대표팀의 전지훈련 명단도 논의했다. 전강위 위원 패싱은 이전에도 있었다. 위르겐... ",https://m.sports.naver.com/worldcup2026/article/382/0001280960,"Wed, 01 Jul 2026 00:05:00 +0900",중립,"북중미, 홍명보호, 매치, 리뷰, 없었다"
2차전지,코스닥 '30주년' 시총 500조 회복···정책 바람 타고 재도약 신호탄,"◇500조 시총 회복…바이오·2차전지가 반등 이끌어 1일 한국거래소에 따르면 이날부터 3일까지 한국거래소와 코스닥협회, 한국IR협의회는 코스닥시장 개설 30주년 기념행사 'KOSDAQ CONNECT 2026'을 개최한다. 이번 행사는... ",https://www.ziksir.com/news/articleView.html?idxno=138508,"Wed, 01 Jul 2026 00:00:00 +0900",중립,"코스닥, 주년, 시총, 회복, 정책"
2차전지,"[더페어 돋보기] 7월 어닝 시즌 개막, 반도체·바이오·2차전지 실적 발...","이번 어닝 시즌은 반도체와 바이오 등 주도주들의 실적 성장세가 시장의 예상치를 충족시킬 수 있을지, 그리고 2차전지 섹터의 실적 바닥 통과 여부가 확인될 중요한 변곡점이 될 것으로 보인다. 주요 섹터별 대형주들의... ",https://www.thefairnews.co.kr/news/articleView.html?idxno=80906,"Wed, 01 Jul 2026 00:00:00 +0900",긍정,"더페어, 돋보기, 어닝, 시즌, 개막"
2차전지,"[증시 프리즘] 반도체·바이오 vs 2차전지, 하반기 실적 가를 핵심 변수...","하반기 코스피 시장의 향방은 주요 주도주인 반도체, 바이오, 2차전지의 실적 회복 속도에 따라 갈릴 전망이다. 증권가 리포트와 시장 컨센서스를 종합해 볼 때 각 섹터별로 뚜렷한 실적 온도 차가 예상된다. 반도체 섹터는... ",https://www.thefairnews.co.kr/news/articleView.html?idxno=80905,"Wed, 01 Jul 2026 00:00:00 +0900",긍정,"증시, 프리즘, 반도체, 바이오, 차전지"
2차전지,[시사천국] 김상욱 &quot;인수위 생중계…울산 여소야대 돌파 동력은 시민&quot;,그다음에 울산이 그동안 2차전지 사업을 위한 제반 노력을 정말 많이 해 왔었습니다. 그게 ESS 차세대 배터리 부분이 반영이 된 건데요. 이미 울산에서 많은 노력을 해 왔던 분야고 울산이 제일 잘 할 수 있는 부분입니다.... ,https://news.cpbc.co.kr/article/1174035?division=NAVER,"Tue, 30 Jun 2026 23:40:00 +0900",긍정,"시사천국, 김상욱, 인수위, 생중계, 울산"
2차전지,[26.6.30 증시 인싸잇] “반도체가 살린 코스피”… 3거래일 만에 반등,"반면 에코프로(-9.66%), 에코프로비엠(-7.77%), 알테오젠(-3.22%), 코오롱티슈진(-3.90%) 등 2차전지와 바이오 종목은 차익실현 매물에 하락했다. 정부의 피지컬 AI 산업 지원 기대감에 현대무벡스와 로보스타 등 로봇... ",https://www.mediawatch.kr/news/article.html?no=260237,"Tue, 30 Jun 2026 23:00:00 +0900",중립,"증시, 인싸잇, 반도체가, 살린, 코스피"
2차전지,구미·포항 앞세워 ‘로봇 특화단지’ 유치 총력전,"구미 반도체, 포항 2차전지, 안동·포항 바이오 분야 특화단지에 이어 로봇 특화단지까지 품게될 경우, 첨단 제조 생태계 가치사슬(Value Chain)을 완성할 수 있을 것으로 기대하고 있다.30일 경북도 등에 따르면... ",https://www.yeongnam.com/web/view.php?key=20260630025032935,"Tue, 30 Jun 2026 22:10:00 +0900",긍정,"구미, 포항, 앞세워, 로봇, 특화단지"
2차전지,"영양, 도지사기 유도대회·전국체전 선발전","영양군은 지난 26일 군민회관에서 제107회 전국체육대회 2차 및 최종 선발대회를 열고 남고부 9체급, 여고부... 오도창 영양군수는 &quot;유도 전지훈련 활성화를 위한 인프라를 확충해 선수들이 보다 쾌적한 환경에서 훈련할... ",https://www.idaegu.co.kr/news/articleView.html?idxno=552588,"Tue, 30 Jun 2026 21:44:00 +0900",중립,"영양, 도지사기, 유도대회, 전국체전, 선발전"
2차전지,에코프로비엠 1.2조 기습 유증..코스닥 신뢰 또 '휘청',시가총액 상위 종목의 경우 관련 상장지수펀드(ETF)와 다른 2차전지 종목에도 영향을 미칠 수 있어 투자자들의 불만이 커지고 있다. 증권가에서는 이번 유상증자가 중장기적으로는 생산능력 확대와 원재료 공급망... ,http://www.4th.kr/news/articleView.html?idxno=2113997,"Tue, 30 Jun 2026 21:14:00 +0900",긍정,"에코프로비엠, 기습, 유증, 코스닥, 신뢰"
2차전지,[MD 멕시코 현장 결산] ⑤ 미스터리 '남아공전 충격패'...인터뷰 갈등·...,대표팀은 1차전과 2차전이 펼쳐진 멕시코 과달라하라의 고지대 적응을 위해 미국 솔트레이크시티에서 전지 훈련을 진행했다. 1승 1패로 고지대 성적은 나쁘지 않았지만 고온다습한 몬테레이에서 경기를 갖자 에너지... ,https://m.sports.naver.com/worldcup2026/article/117/0004080067,"Tue, 30 Jun 2026 20:33:00 +0900",중립,"멕시코, 현장, 결산, 미스터리, 남아공전"
2차전지,[이슈대담] 김현수 하동군수 당선인 “하동군청을 하동군민지원청으로...,"앞으로 광양시와 하동군이 협력해서 광양의 철강산업 그리고 2차전지산업 그리고 또 하동 옆에 있는 사천시의 우주항공산업 그런 이웃의 산업들이 중심이 돼서 하동이 두 전략산업, 국가 전략산업의 중간 기지가 될 수... ",https://n.news.naver.com/mnews/article/056/0012209094?sid=100,"Tue, 30 Jun 2026 20:05:00 +0900",중립,"이슈대담, 김현수, 하동군수, 당선인, 하동군청을"
2차전지,[주식마감] 삼전닉스 '호남 메가 프로젝트'에 금호건설 3거래일 연속 상...,"KODEX 2차전지산업레버리지, TIGER 200선물인버스2X, KODEX 삼성전자단일종목레버리지, TIGER SK하이닉스단일종목레버리지, KODEX 코스닥150레버리지, KODEX 코스닥150선물인버스, TIGER 삼성전자단일종목레버리지, SOL... ",https://www.ggilbo.com/news/articleView.html?idxno=1166729,"Tue, 30 Jun 2026 19:40:00 +0900",중립,"주식마감, 삼전닉스, 호남, 메가, 프로젝트"
2차전지,"'무심코 버린 보조배터리, 불날라'… 충주시, 폐배터리 전용 수거함 대...",충북 충주시가 '2차 전지(충전식 전지)'로 인한 화재를 예방하고 자원의 재활용률을 높이기 위해 폐배터리 전용 수거함 운영을 대폭 확대한다고 30일 밝혔다. 최근 중소형 전자제품 사용이 급증하면서 이를 일반 종량제... ,https://www.ccdn.co.kr/news/articleView.html?idxno=1085864,"Tue, 30 Jun 2026 19:28:00 +0900",긍정,"무심코, 버린, 보조배터리, 불날라, 충주시"
2차전지,&quot;'경제'와 '실용'으로 충북 대전환 이룰 것&quot;,이차전지 등 혁신 스타트업을 집중적으로 육성하겠다는 구상이다. 2차 공공기관 유치는 대통령 직속 지방시대위원회 부위원장을 지낸 경력을 바탕으로 구체적인 전략을 만들어가고 있다고 전했다. 신 지사가 우선해서... ,https://www.ccdn.co.kr/news/articleView.html?idxno=1085915,"Tue, 30 Jun 2026 19:26:00 +0900",긍정,"경제, 실용, 으로, 충북, 대전환"
2차전지,충청권 민선 9기 개막 &quot;공약은 이제 성과로&quot;,"대전 재정 정상화와 세종 행정수도 완성, 충남 산업 대전환, 충북 창업특별도에 공공기관 2차 이전과... 반도체와 이차전지, 바이오, 미래차 등 기존 산업 기반에 창업과 기술혁신을 결합해 지역 성장판을 열겠다는... ",https://n.news.naver.com/mnews/article/656/0000180349?sid=100,"Tue, 30 Jun 2026 18:49:00 +0900",긍정,"충청권, 민선, 개막, 공약은, 이제"
2차전지,"엘앤에프, LFP 리사이클링 주도권 확보…씨아이에스케미칼에 전략적 투...",2차전지 소재 전문기업 엘앤에프가 배터리 순환경제 생태계 구축에 속도를 낸다. 엘앤에프는 지난 29일 대구 본사에서 씨아이에스케미칼과 전략적 투자 계약을 체결하고 리사이클링 분야 협력을 강화하기로 했다고... ,https://n.news.naver.com/mnews/article/050/0000108021?sid=101,"Tue, 30 Jun 2026 18:47:00 +0900",중립,"엘앤에프, 리사이클링, 주도권, 확보, 씨아이에스케미칼에"
2차전지,"8000선 보합 뒤엔 롤러코스터…6월 코스피, 사상 최대 기록 쏟아졌다",종목별로는 5월 강세를 이끌었던 전장 부품·2차전지주가 6월 들어 일제히 약세로 돌아섰다. LG이노텍은 47만7000원 내린 98만1000원으로 거래를 마쳤다. 현대차(-22만8000원)와... ,https://www.womentimes.co.kr/news/articleView.html?idxno=104013,"Tue, 30 Jun 2026 18:26:00 +0900",긍정,"보합, 뒤엔, 롤러코스터, 코스피, 최대"
건설,정치적 파고 뚫은 미·중 동맹… 포드·CATL ‘미시간 LFP 배터리 공장’...,"(LRS)로 건설한 LFP 배터리 생산 공장이 공식 완공되었으며, 지난 6월부터 본 가동 및 초도 생산에 전격 착수했다”고 발표했다. 이와 함께 인도네시아와 중국 내 다른 해외 신규 제조 기지들도 올해 안에 줄지어 가동... ",https://www.g-enews.com/view.php?ud=2026070107450333730c8c1c064d_1,"Wed, 01 Jul 2026 07:48:00 +0900",중립,"정치적, 파고, 뚫은, 동맹, 포드"
건설,"“GS건설, 동해 데이터센터 2.4GW 수주 기대”…목표가↑",하나증권은 1일 GS건설에 대해 인공지능(AI) 데이터센터 수주를 통해 매출 도약이 예상된다며 목표주가를 기존 4만5000원에서 5만2000원으로 상향조정했다. GS건설의 새로운 목표주가는 2026년 주당순이익(EPS)... ,https://n.news.naver.com/mnews/article/009/0005701014?sid=101,"Wed, 01 Jul 2026 07:46:00 +0900",긍정,"건설, 동해, 데이터센터, 수주, 기대"
건설,2026-2027시즌 V-리그 코트 누빌 217명 등록 완료...'13억 원 허수봉ㆍ8억...,"여자부에선 현대건설과 흥국생명이 17명으로 가장 많았고, IBK기업은행이 16명을 등록했다. 이어... 2위는 현대건설 정지윤으로 보수 5억 5천만 원(연봉 3억 5천만 원/옵션 2억 원)이었다. 3위는 이번 시즌부터 연봉... ",https://m.sports.naver.com/volleyball/article/472/0000040692,"Wed, 01 Jul 2026 07:46:00 +0900",중립,"시즌, 리그, 코트, 누빌, 등록"
건설,"&quot;정부는 총력 지원, 기업은 파격 투자&quot;..구체적 입지, 시기는 '아직'",&quot; 반도체 패키징 기업인 앰코코리아도 광주에 1조 원 대 공장 추가 건설 계획을 발표했습니다. ◀ INT ▶이진안 / 앰코코리아 대표이사 &quot;총 1조 원 이상의 투자를 통해 1천 명 이상의 신규 인력을 창출할 수 있을 것으로... ,https://kjmbc.co.kr/NewsArticle/1525468,"Wed, 01 Jul 2026 07:45:00 +0900",중립,"정부는, 총력, 지원, 기업은, 파격"
