keyword,title,description,link,pub_date,sentiment,nouns
2차전지,[더벨][Peer Match Up | 노루페인트 vs SP삼화] '확연히' 갈린 지배구조…...,2차전지와 방산용 소재 등으로 기술 고도화 위주의 확장 전략을 고수하고 있다. 다만 의사결정 구조가 안정적인 만큼 사업 전환 속도가 상대적으로 느리다는 점은 한계로 평가된다. 특히 2010년 중반부터 노루가 새롭게... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202606011358203320106139,"Thu, 04 Jun 2026 07:02:00 +0900",중립,"더벨, 노루페인트, 삼화, 확연히, 갈린"
2차전지,"기업은행 인니법인, 사상 첫 '외부 수혈' 승부수...'수익 개선' 조건의 ...","폴란드 법인은 현지 2차전지, 방산, 에너지 관련 국내 기업에 대한 금융지원 등 성장 잠재성이 크지만 작년 말 법인 설립 인가를 받은 만큼 당장 수익성을 내긴 어렵다. 베트남법인은 올해 10월 설립 예정으로 이 역시... ",http://www.consumernews.co.kr/news/articleView.html?idxno=756802,"Thu, 04 Jun 2026 06:10:00 +0900",긍정,"기업은행, 인니법인, 외부, 수혈, 승부수"
2차전지,'월 배당·밸류체인' 시장 빈틈에 강한 신한자산운용,▲SOL 2차전지소부장Fn ▲SOL 의료기기소부장Fn ▲SOL 자동차소부장Fn 등이 대표적이다. 소부장 자체가 하나의 라인업으로 자리잡은 셈이다. 천기훈 신한자산운용 ETF컨설팅 팀장은 &quot;신한운용은 ETF 시장의 후발주자였기... ,https://n.news.naver.com/mnews/article/417/0001145995?sid=101,"Thu, 04 Jun 2026 05:06:00 +0900",중립,"배당, 밸류체인, 시장, 빈틈에, 강한"
2차전지,&quot;양보다 질&quot;…순자산 500조 이후 ETF 투자 지도 바뀐다,"과거에는 반도체, 2차전지, 바이오 등 큰 산업 단위 ETF가 중심이었다면 최근에는 인공지능(AI) 전력, 피지컬 AI, 우주항공, 그룹주, 특정 기업 밸류체인 ETF 등 세분화 된 ETF가 등장하고 있다. 대표적으로 반도체 ETF만... ",https://n.news.naver.com/mnews/article/417/0001145989?sid=101,"Thu, 04 Jun 2026 05:01:00 +0900",중립,"양보다, 순자산, 투자, 지도, 바뀐다"
2차전지,"영풍, 세계 제련업계 첫 무방류 도입 5년... 친환경 제련 '새 길 열어'",2023년 12월에도 또 다른 광역자치단체 관계자들이 2차전지 산업단지 조성과 연계한 공공 폐수처리시설 구축과 수질보전 방안 마련을 위해 ZLD 시스템을 견학했다. 영풍은 ZLD를 비롯해 석포제련소 전반에 걸친 대규모... ,http://www.newsbrite.net/news/articleView.html?idxno=198458,"Thu, 04 Jun 2026 04:50:00 +0900",긍정,"영풍, 세계, 제련업계, 무방류, 도입"
2차전지,"개별종목 영향력 커진 ETF, 수급 쥐락펴락","올들어 주식형 ETF 가운데 'SOL 조선TOP3플러스' 'TIGER 조선TOP10' 'TIGER 2차전지테마'에서는 각각 3130억원, 2964억원, 2793억원이 유출됐다. 이는 시장의 쏠림현상을 강화하는 효과로 이어질 수 있다. 시장을 주도하는... ",https://n.news.naver.com/mnews/article/008/0005366856?sid=101,"Thu, 04 Jun 2026 04:14:00 +0900",중립,"개별종목, 영향력, 커진, 수급, 쥐락펴락"
2차전지,"추미애, 사상 첫 여성 광역단체장…민형배 ‘슈퍼 지자체’ 이끈다","광주권은 AI·미래모빌리티·반도체, 동부권은 2차전지·수소·우주산업, 서부권은 재생에너지·데이터센터, 중남권은 농생명·K푸드 산업 중심지로 육성한다는 계획이다. 한편 같은 시각 경남지사 선거에서는 김경수... ",https://n.news.naver.com/mnews/article/011/0004627445?sid=100,"Thu, 04 Jun 2026 02:27:00 +0900",중립,"여성, 광역단체장, 민형배, 슈퍼, 지자체"
2차전지,"대구시장 접고, 국회 입성…이진숙, 대구 달성 보선 당선","그는 “에너지·물·교육을 축으로 미래 100년 먹거리를 만들고, 첨단기업 유치와 양질의 일자리 창출을 뒷받침할 제도·예산 확보를 위해 노력하겠다”며 “로봇·바이오·2차전지 등 달성의 강점을 세계시장과 연결해... ",https://n.news.naver.com/mnews/article/025/0003527881?sid=102,"Thu, 04 Jun 2026 02:02:00 +0900",중립,"대구시장, 접고, 입성, 이진숙, 대구"
2차전지,대형 반도체주 쏠림에 … 코스닥 빚투도 주춤,과거 개인투자자는 높은 변동성과 성장성을 보고 코스닥 2차전지·바이오·로봇주를 대상으로 빚투에 나섰다. 지금은 대형 반도체주가 코스닥 성장주 못지않은 상승 탄력을 보이고 있다. 국민성장펀드 출시 직후... ,https://n.news.naver.com/mnews/article/009/0005688888?sid=101,"Wed, 03 Jun 2026 20:31:00 +0900",긍정,"대형, 반도체주, 쏠림에, 코스닥, 빚투도"
2차전지,[사설] 이젠 초당적 협력 충청권 발전 힘 모으자,"대전의 연구개발 역량과 세종의 행정 기능, 충북의 반도체 산업과 2차전지 및 청주 국제공항 , 충남의 제조업 기반을 유기적으로 연결한다면 충청권은 대한민국 미래산업의 중심지로 도약할 수 있다. 이를 위해서는... ",https://www.jbnews.com/news/articleView.html?idxno=1505343,"Wed, 03 Jun 2026 19:06:00 +0900",중립,"사설, 이젠, 초당적, 협력, 충청권"
