keyword,title,description,link,pub_date,sentiment,nouns
반도체,반도체 장비주 단기 과열…증권가 &quot;대안은 소재·부품·삼전&quot;,반도체 전공정 장비주들의 밸류에이션 부담이 커지면서 소재 및 소모품 업종으로의 순환매 전략이... 메모리 반도체 업황은 견조한 회복세를 보이고 있다. 이달 1~10일 기준 영업일 평균 메모리 반도체 수출액은 전년... ,https://www.newsway.co.kr/news/view?ud=2026061507430886577,"Mon, 15 Jun 2026 07:48:00 +0900",중립,"반도체, 장비주, 단기, 과열, 증권가"
반도체,"한국선 '삼소' 회동, 젠슨 황이 배제한 日…&quot;우린 파트너 아닌 고객&quot; 위...","한국과 대만은 엔비디아 AI 반도체 공급망의 핵심 국가로 꼽힌다. 엔비디아는 AI 반도체 생산을 TSMC에 맡기고 있으며, AI 반도체 성능을 좌우하는 고대역폭메모리(HBM)는 SK 하이닉스와 삼성전자가 공급하고 있다. 반면... ",https://n.news.naver.com/mnews/article/421/0009003166?sid=102,"Mon, 15 Jun 2026 07:47:00 +0900",중립,"한국선, 삼소, 회동, 젠슨, 황이"
반도체,반도체·주청사로 광주·서부 들썩..동부권은?,광주에선 반도체 기업 유치를 전남 서부권에선 주청사 유치에 속도를 내고 있는데요. 반면 전남 동부권의... ◀ 리포트 ▶ 광주~장성에 조성된 첨단3지구에 반도체 기업의 대규모 투자가 현실화하는 분위기입니다. 정부와... ,https://kjmbc.co.kr/NewsArticle/1523049,"Mon, 15 Jun 2026 07:45:00 +0900",중립,"반도체, 주청사로, 광주, 서부, 들썩"
반도체,"[단독]'삼전닉스 레버리지' 특수 금투협, 쓰는 돈은 안갯속",반도체 랠리를 감안하면 서버 과부하를 충분히 예견할 수 있었던 상황이어서 금투협의 안일한 대응이란 지적이 나온다. 지난 1월에도 코스닥 레버리지 상품에 대한 관심이 늘자 수강신청 홈페이지가 다운된 바 있다.... ,https://n.news.naver.com/mnews/article/648/0000047999?sid=101,"Mon, 15 Jun 2026 07:45:00 +0900",중립,"단독, 삼전닉스, 레버리지, 특수, 금투협"
반도체,6/15 주요 뉴스,** 전남광주통합특별시 출범에 맞춰 광주는 반도체 기업 유치를 전남서부권은 주청사 유치에 속도를 내고있는데 전남 동부권의 주요 의제는 관심 밖으로 밀려나 있습니다. ** 민선 9기 기초의회 출범을 앞두고 여수와... ,https://kjmbc.co.kr/NewsArticle/1523047,"Mon, 15 Jun 2026 07:45:00 +0900",중립,"주요, 뉴스, 전남광주통합특별시, 출범에, 맞춰"
반도체,"“정책은 현장에서 나온다”… 허태정, 노동·청년·상인 만나 민선 9기...","18일 ‘청년과의 대화’에서는 대학생, 청년 창업가, 대덕특구 연구자 등이 참여해 AI·반도체·바이오 분야 일자리와 청년주택, 문화정책 등을 주제로 의견을 나누며, 허 당선인의 핵심 공약인 ‘청년특별시’ 구상도... ",https://cc.newdaily.co.kr/site/data/html/2026/06/14/2026061400058.html,"Mon, 15 Jun 2026 07:44:00 +0900",중립,"정책은, 현장에서, 나온다, 허태정, 노동"
반도체,"LG이노텍, 2개 분기 연속 실적 서프라이즈 기대…목표가 200만원-KB",KB증권은 LG이노텍에 대해 아이폰 인공지능(AI) 시리 생태계 확대와 AI 반도체 기판 사업 성장의 수혜가... AI 반도체 기판과 서버용 FC-BGA 사업이 중장기 실적 개선의 핵심 축으로 부상하고 있다”고 밝혔다.... ,https://n.news.naver.com/mnews/article/018/0006306277?sid=101,"Mon, 15 Jun 2026 07:43:00 +0900",긍정,"이노텍, 분기, 연속, 실적, 서프라이즈"
반도체,25거래일 만에 돌아온 외인...개인과 수익률 차이는 '백중세'[떠나는 외...,외국인이 대규모 매도에 나서는 동안 개인투자자들은 반도체와 대표 제조업 종목을 중심으로... 결국 최근 한 달간의 수급 전쟁에서 개인은 외국인이 던진 반도체 대형주를 받아내는 전략을 택했고... ,https://www.etoday.co.kr/news/view/2593236,"Mon, 15 Jun 2026 07:42:00 +0900",긍정,"거래일, 만에, 돌아온, 외인, 개인과"
반도체,"[코스피·코스닥, 한화오션 HD현대마린엔진 한미반도체 KCC건설 현대로템...","퍼블릭타임스=[코스피·코스닥, 한화오션 HD현대마린엔진 한미반도체 KCC건설 현대로템 삼보산업... 한미반도체[042700] &quot;스페이스X에 500억원 출자&quot; ▲ 큐브엔터[182360], 100억원 제3자배정 유상증자... ",https://www.public25.com/news/articleView.html?idxno=48378,"Mon, 15 Jun 2026 07:42:00 +0900",중립,"코스피, 코스닥, 한화오션, 현대마린엔진, 한미반도체"
반도체,"[아주증시포커스] &quot;스페이스X 담는다더니&quot;…1.8조 몰린 ETF, 실제 확보는...","-또 스페이스X 상장은 단기 유동성 쏠림을 야기할 수 있으나 중장기적인 관점에서 한국 반도체에 새로운... 0주 무상증자 결정 ▷한미반도체 &quot;스페이스X에 500억원 출자&quot; ◆펀드 동향(11일 기준, ETF 제외) ▷국내... ",https://www.ajunews.com/view/20260615073640714,"Mon, 15 Jun 2026 07:40:00 +0900",중립,"아주증시포커스, 스페이스, 담는다더니, 몰린, 실제"
