keyword,title,description,link,pub_date,sentiment,nouns
반도체,"정청래의 폴더 인사, 이재명은 웃지 않았다: 슬로우레터 6월19일.",반도체.인류에 던지는 6가지 의제.전세는 투자 사다리였다.학폭이냐 아니냐만 보더라.30년을 내다봤던... “40년 만에 처음.” 팀 쿡(애플 CEO)이 “메모리가 부족해 제품 가격을 올릴 수밖에 없다”고 말한 뒤 반도체... ,https://slownews.kr/161803,"Fri, 19 Jun 2026 07:48:00 +0900",중립,"정청래의, 폴더, 인사, 이재명은, 웃지"
반도체,"아마존, 자체 AI 칩 타 회사에 판매 추진…엔비디아에 도전장",AI 반도체를 다른 기업의 데이터센터에 판매하는 방안을 추진하고 있다. 현재 사업 중인 클라우드 서비스 부문을 넘어 엔비디아가 1위를 달리고 있는 AI 반도체 시장에 도전하는 양상이다. 18일(현지시간) 블룸버그통신에... ,https://www.etoday.co.kr/news/view/2595174,"Fri, 19 Jun 2026 07:48:00 +0900",중립,"아마존, 자체, 회사에, 판매, 추진"
반도체,"뉴욕증시, 반도체주 강세에 상승...스페이스X는 열기 식어",미국과 이란의 종전 양해각서(MOU) 체결로 중동발 에너지 공급 우려가 완화된 가운데 반도체주가 강세를... 인공지능(AI) 투자 확대 기대 속에 반도체 업종이 강세를 주도했다. 반도체 관련 종목들이 일제히... ,https://n.news.naver.com/mnews/article/310/0000137642?sid=104,"Fri, 19 Jun 2026 07:48:00 +0900",긍정,"뉴욕증시, 반도체주, 강세에, 상승, 스페이스"
반도체,"삼성전기, 300만원 간다","MLCC 부품이 AI용 반도체에 준주연급 부품으로 사용되면서다. 지난 1년간 주가 상승률은 1550.41%에 달한다. KB증권은 올해와 내년 영업이익 추정치는 크게 건드리지 않았다. 종전 각각 1조7420억원, 3조2730억원이었던... ",https://www.smarttoday.co.kr/ko-kr/articles/108531,"Fri, 19 Jun 2026 07:48:00 +0900",긍정,"삼성전기, 만원, 간다, 부품이, 반도체에"
반도체,5월 생산자물가 0.8% 상승…9개월 연속 오름세 지속,전년 동월 대비 8.5% 상승…금융수수료·도시가스·반도체가 견인 생산자물가가 지난달까지 9개월 연속 오름세를 이어갔다. 이는 지난 2020년 11월부터 13개월 연속 상승한 후 역대 두 번째로 긴 상승 흐름이다.... ,https://n.news.naver.com/mnews/article/629/0000508849?sid=101,"Fri, 19 Jun 2026 07:48:00 +0900",긍정,"생산자물가, 상승, 개월, 연속, 오름세"
반도체,"'비트코인 말고 삼전 살걸'…삼성전자, 비트코인 시총 추월","코스피가 장중 처음으로 9000선을 돌파하며 반도체주가 강세를 보인 반면, 비트코인은 약세를... 인공지능(AI) 반도체와 고대역폭메모리(HBM) 수요 확대 기대가 커지면서 삼성전자 주가가 반등했고, 비트코인과의... ",https://n.news.naver.com/mnews/article/015/0005300493?sid=101,"Fri, 19 Jun 2026 07:47:00 +0900",긍정,"비트코인, 말고, 삼전, 살걸, 삼성전자"
반도체,"美, AI ‘미토스’ 수출 금지 중심에 SK텔레콤?… 와이어드 “中 통신산...","하지만, 와이어드는 “SK텔레콤 자체는 중국에서 큰 규모의 사업을 운영하지는 않지만 회사는 반도체, 에너지 등 다양한 산업 분야에서 중국 내 광범위한 사업을 영위하는 SK그룹이라는 큰 대기업의 계열사”라며... ",https://n.news.naver.com/mnews/article/366/0001172833?sid=105,"Fri, 19 Jun 2026 07:47:00 +0900",중립,"미토스, 수출, 금지, 중심에, 텔레콤"
반도체,"인텔, 이석희 전 SK하이닉스 대표 영입…파운드리 강화",인텔이 이석희 전 SK하이닉스 대표를 반도체 위탁생산(파운드리) 부문 수석 부사장으로 영입했다. 이석희 전 SK하이닉스·SK온 대표 인텔은 18일(현지시간) 홈페이지를 통해 첨단 패키징 사업에 집중하기 위해 이 전... ,https://n.news.naver.com/mnews/article/018/0006309509?sid=101,"Fri, 19 Jun 2026 07:46:00 +0900",중립,"인텔, 이석희, 하이닉스, 대표, 영입"
반도체,"SK그룹, 청년 인재육성 'K 뉴딜 아카데미' 참여","프로그램은 반도체, 인공지능(AI) 에이전트 기반의 보안·네트워크 실무, AI 콘텐츠 서비스 기획 등 분야로 구성됐다. 계열사별로 보면 SK하이닉스는 '청년 하이포(Hy-Po)' 프로그램을 통해 AI 반도체 직무 특화교육에... ",https://weekly.hankooki.com/news/articleView.html?idxno=7170349,"Fri, 19 Jun 2026 07:46:00 +0900",중립,"그룹, 청년, 인재육성, 뉴딜, 아카데미"
반도체,바이트댄스 ‘AI 수조원 살포’ 파격 수혜… 中 2류 칩 스타트업 일제히...,"(2nd-tier) 반도체 스타트업'들이 사상 유례없는 생존 돌파구와 특수를 맞이하고 있다. 미국의 대중국 반도체 수출 통제로 엔비디아의 독점 체제에 균열이 가자, 틱톡 소유주인 바이트댄스가 화웨이 등 독점 대기업 외에... ",https://www.g-enews.com/view.php?ud=2026061907422651130c8c1c064d_1,"Fri, 19 Jun 2026 07:46:00 +0900",긍정,"바이트댄스, 수조원, 살포, 파격, 수혜"
반도체,증시 오늘 '핫이슈' &quot;나는 지금 '금융 힙스터 증후군'에 빠진 걸까&quot;,"미국과 이란 간 종전 양해각서(MOU) 체결로 에너지 수급 우려가 덜어진 가운데 반도체 업종이 일제히 강세를... 마이크론 테크놀로지(8.7%), 샌디스크(11.54%) 등 메모리 반도체 업체들도 강한 상승 폭을 보였습니다. 지난주... ",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005861355,"Fri, 19 Jun 2026 07:46:00 +0900",긍정,"증시, 오늘, 핫이슈, 나는, 지금"
반도체,"뉴욕증시, 연준 우려 완화에 일제히 상승…S&amp;P500 7500선 회복",전날 하락 폭이 컸던 반도체 업종과 주요 기술 기업들이 반등에 성공하며 지수 밀어 올리기에 앞장섰다. 미국 경제의 견조한 성장세와 기업 실적에 대한 긍정적인 기대감도 증시 하단을 지지하는 요인으로... ,https://www.gukjenews.com/news/articleView.html?idxno=3612462,"Fri, 19 Jun 2026 07:46:00 +0900",긍정,"뉴욕증시, 연준, 우려, 완화에, 일제히"
반도체,완판된 아마존 AI 반도체…빅테크 판도 뒤집을 변수 될까,아마존이 자체 개발한 인공지능(AI) 반도체를 외부 기업 데이터센터에 직접 판매하는 방안을 추진하면서 AI 반도체 시장의 경쟁 구도가 새로운 국면을 맞고 있다. 그동안 AI 칩 시장을 사실상 장악해 온 엔비디아 중심의... ,https://www.pinpointnews.co.kr/news/articleView.html?idxno=461348,"Fri, 19 Jun 2026 07:46:00 +0900",중립,"완판된, 아마존, 반도체, 빅테크, 판도"
